elementID,suggestedLabel,onsetSec,peakSec,offsetSec,durationSec,peakActivationZ
2,whitewater decay,347.1,347.65,348.2,1.09999999999997,3.80458886358705
1,continuous foamy hiss,347.25,347.3,347.55,0.300000000000011,1.86122053599498
5,deep incoming rumble,347.5,347.5,347.7,0.199999999999989,2.46051337745909
10,lapping water movement,347.6,347.65,347.9,0.299999999999955,2.44239379271947
2,whitewater decay,348.8,349,349,0.199999999999989,1.71011019542215
1,continuous foamy hiss,350.7,351,351.15,0.449999999999989,2.34934593618042
7,deep incoming rumble,356.65,356.7,358.05,1.40000000000003,3.51210998817914
10,lapping water movement,359,359.25,359.55,0.550000000000011,1.93234752908392
2,whitewater decay,359.1,359.2,359.95,0.849999999999966,2.8091632232078
9,deep incoming rumble,359.45,359.75,360.15,0.699999999999989,2.25533784102629
2,whitewater decay,360.2,360.35,360.5,0.300000000000011,3.51197476845538
1,continuous foamy hiss,360.4,360.5,360.8,0.400000000000034,2.91812952582462
